country,volatility_std,high_volatility_periods,extreme_positive_count,extreme_negative_count,crisis_events,total_extreme_events,max_positive_extreme,max_negative_extreme,avg_extreme_magnitude,stability_inverse_volatility,time_in_normal_range,recovery_speed,consistency_score,cluster
"Micronesia, Fed. Sts.",0.585557905953365,1,0,0,0,0,0.0,0.0,0.0,1.704861514695032,0.8571428571428571,1.0,0.6892895015906682,0
Palau,0.6363243461234119,2,0,0,0,0,0.0,0.0,-1.105,1.5690597826406576,0.8571428571428571,1.0,0.6429277942631059,0
Pakistan,0.9333974942932626,12,4,0,3,4,2.36,0.0,1.01125,1.0702083493453247,0.7647058823529411,0.8571428571428571,0.5307172724348665,0
Panama,0.7664197987777178,10,1,1,1,2,2.43,-1.65,-0.5379999999999999,1.303067762380794,0.8529411764705882,1.0,0.5598914149983033,0
Papua New Guinea,0.9488392479062757,3,3,0,1,3,2.23,0.0,1.1400000000000001,1.052809727755821,0.7142857142857143,0.6666666666666666,0.5625270445694505,0
Paraguay,0.8562944787717599,10,2,1,2,3,3.08,-1.65,1.1825,1.1664603292822944,0.75,0.5714285714285714,0.55835734870317,0
Guam,1.1570822294522916,4,1,1,1,2,1.85,-3.07,-0.2799999999999999,0.863496541582323,0.7142857142857143,0.5,0.4775900073475386,0
Guatemala,0.7176369333904784,10,1,1,1,2,1.59,-2.17,0.08400000000000003,1.3915232484393343,0.8529411764705882,0.8,0.5784399649430324,0
Peru,0.9297868727791254,14,3,2,2,5,2.89,-2.08,0.6000000000000001,1.0743598016313007,0.7804878048780488,0.5555555555555556,0.5414185165132648,0
Philippines,0.44741752250707256,3,0,0,0,0,0.0,0.0,-1.1,2.2300645041903504,0.9411764705882353,1.0,0.6866416978776528,0
Poland,1.0381741451006934,11,0,3,2,3,0.0,-3.11,-1.0316666666666665,0.9623026176263292,0.75,1.0,0.4503622478950461,0
Portugal,1.9962878773504082,9,4,1,4,5,3.04,-7.61,0.4149999999999999,0.5006789513620815,0.6363636363636364,0.375,0.3675183759187959,1
Guinea-Bissau,6.75807707747729,3,4,0,3,4,32.63,0.0,8.138000000000002,0.1479491931423917,0.7727272727272727,0.25,0.2300361485376273,1
Timor-Leste,1.7896466131613804,7,1,2,1,3,1.85,-6.89,-0.37249999999999994,0.558457482704811,0.6,0.42857142857142855,0.49960557454641064,0
Puerto Rico,0.705871873671714,2,0,0,0,0,0.0,0.0,0.5225,1.4146835335315955,0.7142857142857143,0.6666666666666666,0.6470881035340966,0
Qatar,0.46682219225704497,1,0,0,0,0,0.0,0.0,0.0,2.137564263840117,1.0,1.0,0.6448412698412698,0
Reunion,3.8931874696024322,5,1,2,2,3,2.44,-14.48,-2.758,0.2567929787165826,0.6428571428571429,0.5,0.3403141361256544,1
Romania,0.9293262194849676,7,0,1,1,1,0.0,-3.05,-0.27999999999999997,1.0748917735045713,0.75,0.8333333333333334,0.48842641749840726,0
Russian Federation,1.1492152053620306,7,3,2,3,5,3.24,-3.64,0.38375000000000004,0.8694025216657172,0.7647058823529411,0.42857142857142855,0.5192761605035405,0
Rwanda,1.3777608291513261,11,6,2,5,8,4.58,-2.17,0.8685714285714285,0.7252889542963981,0.5625,0.42857142857142855,0.43344519015659955,1
St. Kitts and Nevis,1.4816312369982552,6,1,1,1,2,1.55,-4.86,-1.3750000000000002,0.6744765488852148,0.7142857142857143,0.5,0.45343564701778855,0
