country,cluster,cluster_type,volatility_std,extreme_positive_count,extreme_negative_count,stability_inverse_volatility,time_in_normal_range,recovery_speed
Denmark,0,Stable Markets,0.9114890262081926,2,0,1.095903590375717,0.8571428571428571,0.0
Latvia,0,Stable Markets,0.9202350997918353,1,1,1.0854992392560407,0.8333333333333334,0.5
Switzerland,0,Stable Markets,0.9209134772892952,0,2,1.0847004893998327,0.6428571428571429,0.75
South Africa,0,Stable Markets,0.9222387869555743,2,2,1.0831434013919081,0.7954545454545454,1.0
Singapore,0,Stable Markets,0.9232307956523204,0,1,1.0819808263305075,0.7142857142857143,0.5
French Polynesia,0,Stable Markets,0.9246965856486138,0,1,1.080267568772897,0.9285714285714286,1.0
Algeria,0,Stable Markets,0.9264351800623414,0,1,1.0782424707382579,0.6428571428571429,0.6
Romania,0,Stable Markets,0.9293262194849676,0,1,1.0748917735045713,0.75,0.8333333333333334
Peru,0,Stable Markets,0.9297868727791254,3,2,1.0743598016313007,0.7804878048780488,0.5555555555555556
Pakistan,0,Stable Markets,0.9333974942932626,4,0,1.0702083493453247,0.7647058823529411,0.8571428571428571
Ghana,0,Stable Markets,0.9440163735763522,3,2,1.0581827235601917,0.7111111111111111,0.8333333333333334
Czechia,0,Stable Markets,0.9485133653073459,0,1,1.0531710627120159,0.875,0.6666666666666666
Papua New Guinea,0,Stable Markets,0.9488392479062757,3,0,1.052809727755821,0.7142857142857143,0.6666666666666666
Djibouti,0,Stable Markets,0.9491524629499074,1,3,1.052462672038267,0.7647058823529411,0.5
North Macedonia,0,Stable Markets,0.9497907932910321,1,0,1.051756082469664,0.9285714285714286,1.0
Honduras,0,Stable Markets,0.9541298758651077,2,3,1.046978034368626,0.8181818181818182,1.0
West Bank and Gaza,0,Stable Markets,0.9589998484580489,0,4,1.0416668311002333,0.8235294117647058,0.5
United Kingdom,0,Stable Markets,0.9606777050044213,2,2,1.0398494160737588,0.7272727272727273,0.5
Bosnia and Herzegovina,0,Stable Markets,0.9623536199318411,1,0,1.0380404239003655,0.7857142857142857,1.0
Malawi,0,Stable Markets,0.9635220057930088,3,2,1.0367829805788846,0.8181818181818182,0.8333333333333334
Cabo Verde,0,Stable Markets,0.9762507076642127,2,1,1.0232788701582645,0.8409090909090909,0.8571428571428571
Montenegro,0,Stable Markets,0.9766101304710982,1,0,1.0229026570317068,0.7857142857142857,1.0
Lithuania,0,Stable Markets,0.9814059500985761,1,1,1.0179091442795705,0.8333333333333334,0.25
Belize,0,Stable Markets,0.9983284498989052,1,1,1.0006720013836918,0.8571428571428571,1.0
Dominican Republic,0,Stable Markets,1.0036612905553195,1,2,0.9953603362654264,0.7941176470588235,0.5
Fiji,0,Stable Markets,1.0220859522944001,0,1,0.9774349826203489,0.7142857142857143,1.0
Morocco,0,Stable Markets,1.0242468611878004,2,0,0.975374846640788,0.7857142857142857,0.5
Angola,0,Stable Markets,1.0300656309583542,0,4,0.9698703651585406,0.42857142857142855,0.5
Poland,0,Stable Markets,1.0381741451006934,0,3,0.9623026176263292,0.75,1.0
Brazil,0,Stable Markets,1.0408054398968238,3,2,0.9598721236270719,0.7619047619047619,0.6
Slovak Republic,0,Stable Markets,1.0518660666749462,3,1,0.9497884219576928,0.75,0.5
Finland,0,Stable Markets,1.058887978022227,2,2,0.9434959361139477,0.7916666666666666,0.6
Central African Republic,0,Stable Markets,1.0646150698320873,1,2,0.9384251671267877,0.7777777777777778,0.75
Malta,0,Stable Markets,1.0694325305974193,1,1,0.9342018029309049,0.7916666666666666,1.0
Armenia,0,Stable Markets,1.0728116453454861,2,2,0.931262018189663,0.7083333333333334,0.5
Kuwait,0,Stable Markets,1.0815597202981573,3,0,0.9237365673688481,0.6428571428571429,0.6
Cook Islands,0,Stable Markets,1.085847031358563,3,0,0.9200926819940761,0.7857142857142857,0.5
Slovenia,0,Stable Markets,1.100694777427219,0,2,0.9076924212487363,0.75,0.16666666666666666
Cote d'Ivoire,0,Stable Markets,1.1134424067079336,3,1,0.8973097164832441,0.7083333333333334,0.6666666666666666
French Guiana,0,Stable Markets,1.1343066298899274,1,0,0.880819307905349,0.6428571428571429,0.25
Guadeloupe,0,Stable Markets,1.1441664375145313,1,1,0.8732355116609946,0.7142857142857143,0.6666666666666666
Russian Federation,0,Stable Markets,1.1492152053620306,3,2,0.8694025216657172,0.7647058823529411,0.42857142857142855
Uganda,0,Stable Markets,1.1565938255687473,3,2,0.8638608619985352,0.6875,0.6
Guam,0,Stable Markets,1.1570822294522916,1,1,0.863496541582323,0.7142857142857143,0.5
"Gambia, The",0,Stable Markets,1.1615236738430945,2,1,0.8601975361879554,0.6428571428571429,0.25
Germany,0,Stable Markets,1.176495207054505,2,1,0.8492603570773696,0.875,0.6666666666666666
Barbados,0,Stable Markets,1.1927330987685214,3,1,0.8377081954346577,0.5714285714285714,0.8
Mauritius,0,Stable Markets,1.1962729390221438,1,2,0.835231439221149,0.7647058823529411,0.5
Kazakhstan,0,Stable Markets,1.1996397028552641,2,1,0.8328893319302044,0.7916666666666666,0.75
Andorra,0,Stable Markets,1.2002839800035079,4,1,0.8324426335870058,0.5,0.3333333333333333
Mexico,0,Stable Markets,1.2063923240166803,1,1,0.8282312054736775,0.6764705882352942,0.6
Norway,0,Stable Markets,1.2090916222604506,0,2,0.8263837064932328,0.6428571428571429,0.75
France,0,Stable Markets,1.2095623060521612,2,1,0.8260623967891098,0.7083333333333334,0.7142857142857143
Netherlands,0,Stable Markets,1.221473056834013,1,1,0.8180139385565041,0.7857142857142857,1.0
Spain,0,Stable Markets,1.244887252257542,2,2,0.8026408474667388,0.625,0.5555555555555556
Viet Nam,0,Stable Markets,1.2537831639570785,3,1,0.7969504442874453,0.5833333333333334,0.5555555555555556
Mozambique,0,Stable Markets,1.2623341475219627,3,3,0.7915562180928188,0.78125,0.42857142857142855
New Caledonia,0,Stable Markets,1.279526578585268,1,3,0.7809287341031257,0.6428571428571429,0.6
Hungary,0,Stable Markets,1.2828026500163185,1,1,0.7789359213328381,0.75,0.6666666666666666
Sri Lanka,0,Stable Markets,1.2954809663812337,2,1,0.7713186895378975,0.7058823529411765,0.6
Luxembourg,0,Stable Markets,1.3053197669067724,1,2,0.7655093533246418,0.6428571428571429,0.75
Greece,0,Stable Markets,1.3312430881406379,2,2,0.7506137647864722,0.75,0.6666666666666666
St. Kitts and Nevis,0,Stable Markets,1.4816312369982552,1,1,0.6744765488852148,0.7142857142857143,0.5
"Venezuela, RB",0,Stable Markets,1.494096717083603,4,1,0.6688530504907008,0.5,0.5714285714285714
Belgium,0,Stable Markets,1.511363926513845,1,2,0.6612165117592452,0.6428571428571429,0.75
Sierra Leone,0,Stable Markets,1.6205077624507898,1,1,0.6167099678194409,0.7142857142857143,1.0
Equatorial Guinea,0,Stable Markets,1.637718827877262,1,2,0.6102328129685093,0.6428571428571429,0.4
Martinique,0,Stable Markets,1.7197307869523755,1,2,0.5811484327371874,0.6428571428571429,0.5
Timor-Leste,0,Stable Markets,1.7896466131613804,1,2,0.558457482704811,0.6,0.42857142857142855
Japan,0,Stable Markets,1.8994988802559871,1,2,0.5261776317728245,0.78125,1.0
Brunei Darussalam,0,Stable Markets,1.9770418275178454,2,1,0.5055504823448828,0.6428571428571429,0.75
India,0,Stable Markets,2.010614720814397,1,2,0.4971130851513916,0.7,0.6666666666666666
Namibia,1,Volatile Markets,1.0950907653379907,6,6,0.9123332041682151,0.6666666666666666,0.5714285714285714
Somalia,1,Volatile Markets,1.0969768439484593,3,3,0.9107660198040949,0.7222222222222222,0.7333333333333333
Colombia,1,Volatile Markets,1.0974192114319097,4,2,0.9103992260808973,0.5909090909090909,0.4444444444444444
Italy,1,Volatile Markets,1.1314459073547622,2,3,0.8830443851714405,0.7142857142857143,0.5833333333333334
"Egypt, Arab Rep.",1,Volatile Markets,1.147598813050225,5,0,0.8706260085228495,0.5714285714285714,0.4166666666666667
Botswana,1,Volatile Markets,1.2897713161684803,5,3,0.7747305719253164,0.7592592592592593,0.6666666666666666
Mauritania,1,Volatile Markets,1.3024209557668984,4,2,0.7672118478497428,0.6764705882352942,0.9090909090909091
Cameroon,1,Volatile Markets,1.321086831529752,5,3,0.7563799715355506,0.6976744186046512,0.6153846153846154
Argentina,1,Volatile Markets,1.3346016603074875,5,1,0.7487262330669581,0.6764705882352942,0.5
Rwanda,1,Volatile Markets,1.3777608291513261,6,2,0.7252889542963981,0.5625,0.42857142857142855
Burundi,1,Volatile Markets,1.4030816262571992,3,6,0.7122093055698319,0.6206896551724138,0.45454545454545453
Croatia,1,Volatile Markets,1.4667175909129146,4,2,0.681329982137779,0.6521739130434783,0.625
Chile,1,Volatile Markets,1.5122350033031966,6,0,0.66083588987641,0.6666666666666666,0.5384615384615384
Myanmar,1,Volatile Markets,1.5981612155328178,5,1,0.6253278220400151,0.6666666666666666,0.8571428571428571
Saudi Arabia,1,Volatile Markets,1.6630899914193544,3,6,0.6009290393887105,0.696969696969697,0.8
Lesotho,1,Volatile Markets,1.7140559369816497,7,2,0.5830713613690721,0.673469387755102,0.5
China,1,Volatile Markets,1.9664792173998114,7,5,0.5082645809705598,0.5789473684210527,0.4
Portugal,1,Volatile Markets,1.9962878773504082,4,1,0.5006789513620815,0.6363636363636364,0.375
South Sudan,1,Volatile Markets,2.142840419208995,8,0,0.4664526291415694,0.7209302325581395,0.5833333333333334
Benin,1,Volatile Markets,2.411406788362747,5,4,0.41452378795480027,0.7058823529411765,0.5
Uzbekistan,1,Volatile Markets,2.6722501601398294,1,2,0.374076476235091,0.7142857142857143,0.25
"Yemen, Rep.",1,Volatile Markets,3.0856261892186225,8,2,0.3239783306099497,0.6857142857142857,0.6363636363636364
"Iran, Islamic Rep.",1,Volatile Markets,3.25135777948351,3,0,0.3074692477894621,0.6956521739130435,0.7142857142857143
Reunion,1,Volatile Markets,3.8931874696024322,1,2,0.2567929787165826,0.6428571428571429,0.5
"Bahamas, The",1,Volatile Markets,3.9884189491934916,2,1,0.2506630696688704,0.7857142857142857,1.0
Ecuador,1,Volatile Markets,4.089353180822121,3,5,0.24447766630240222,0.7,0.6363636363636364
Bangladesh,1,Volatile Markets,4.2958941127981385,3,2,0.2327262375448204,0.7647058823529411,0.75
Sudan,1,Volatile Markets,4.51928165223683,6,5,0.22122515297363315,0.4883720930232558,0.38095238095238093
Lebanon,1,Volatile Markets,4.537701758037647,2,0,0.22032732118365933,0.8571428571428571,0.5
Jordan,1,Volatile Markets,6.045447874227352,2,4,0.1653863591981739,0.56,0.8
Zimbabwe,1,Volatile Markets,6.669727681617801,3,1,0.14990868278968292,0.5,0.3333333333333333
Guinea-Bissau,1,Volatile Markets,6.75807707747729,4,0,0.1479491931423917,0.7727272727272727,0.25
Iraq,1,Volatile Markets,11.596500040253257,2,4,0.08622547932995418,0.6875,0.5
"Congo, Dem. Rep.",1,Volatile Markets,14.769885799511526,2,3,0.0677007468321954,0.5714285714285714,0.6666666666666666
